AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
2,0,0,1,2,0,0.527396199014022,1.0,0,0.0,1.0,92101.0,9000.0,0,0.0,0,1,0
2,1,0,2,0,3,0.335465047317022,0.0,1,0.0,0.0,10238.0,16000.0,0,2.0,1,0,1
3,0,0,3,2,2,0.706051203556544,1.0,1,0.0,1.0,10238.0,13000.0,0,1.0,2,2,0
1,1,0,1,0,0,0.364895289174523,1.0,1,1.0,1.0,32765.0,9000.0,0,5.0,1,1,1
3,0,0,3,0,2,0.581797520341988,1.0,0,1.0,1.0,10238.0,12000.0,0,2.0,0,5,0
0,1,0,0,0,1,0.299147709976304,1.0,1,0.0,1.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,0,0,0,0.470180281530903,0.0,0,0.0,1.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,1,3,0.464141859582262,1.0,1,0.0,0.0,10238.0,12000.0,0,1.0,0,1,0
2,1,0,2,1,0,0.449011775546327,1.0,1,1.0,1.0,32765.0,7000.0,0,7.0,0,1,1
0,0,0,0,0,3,0.346071742944823,1.0,1,0.0,0.0,10238.0,18000.0,0,0.0,0,0,1
2,0,0,2,0,3,0.418850503019207,1.0,1,1.0,1.0,32765.0,9000.0,0,3.0,1,6,0
2,1,0,0,0,2,0.553395088841325,1.0,1,1.0,1.0,10238.0,9000.0,0,0.0,0,0,1
0,0,0,0,1,1,0.357766196283731,0.0,1,0.0,0.0,10238.0,12000.0,0,0.0,0,0,1
2,1,0,2,0,3,0.325708839529158,1.0,1,0.0,1.0,32765.0,10000.0,0,6.0,1,2,0
2,1,0,2,1,3,0.524029374080796,1.0,1,0.0,0.0,32765.0,14000.0,0,4.0,0,1,0
3,1,0,3,0,2,0.657385349178666,1.0,1,1.0,1.0,10238.0,9000.0,0,7.0,0,8,0
1,0,0,1,2,0,0.753706829596387,1.0,1,0.0,0.0,92101.0,14000.0,0,0.0,0,1,1
2,0,0,1,0,0,0.415259324680026,1.0,1,1.0,1.0,32765.0,6000.0,0,1.0,1,0,0
2,1,0,2,2,2,0.732687661629997,1.0,0,1.0,1.0,32765.0,11000.0,0,8.0,1,2,0
0,1,0,0,1,1,0.436115483196155,0.0,1,0.0,1.0,32765.0,12000.0,0,0.0,0,0,1
2,0,0,0,1,0,0.399198419162015,0.0,1,1.0,0.0,10238.0,13000.0,0,0.0,0,0,1
2,1,0,1,2,2,0.742475986668462,1.0,0,1.0,1.0,10238.0,12000.0,0,0.0,0,2,0
1,1,0,1,2,2,0.656345762516539,0.0,0,1.0,1.0,32765.0,6000.0,0,8.0,0,0,0
2,0,0,2,2,2,0.618304168219482,1.0,0,1.0,1.0,21217.0,8000.0,0,2.0,0,1,1
3,1,0,0,2,2,0.516667312927494,1.0,1,0.0,1.0,10238.0,14000.0,0,0.0,0,0,1
2,0,0,0,0,0,0.607622900259746,1.0,1,0.0,0.0,10238.0,16000.0,0,0.0,0,0,0
2,1,0,2,1,2,0.597195027281346,1.0,1,1.0,1.0,10238.0,11000.0,0,5.0,1,5,0
1,1,0,1,1,3,0.431242179025551,0.0,1,0.0,1.0,10238.0,15000.0,0,2.0,0,7,1
2,0,0,0,0,0,0.33960404997847,1.0,1,1.0,1.0,32765.0,7000.0,0,0.0,0,0,1
0,0,0,0,1,1,0.46908078696751,0.0,1,0.0,0.0,10238.0,18000.0,0,0.0,0,0,1
1,1,0,1,2,0,0.502144711398539,1.0,1,0.0,0.0,32765.0,13000.0,0,4.0,0,3,1
2,0,0,2,0,0,0.592363510433895,1.0,1,0.0,1.0,32765.0,11000.0,0,1.0,0,1,0
1,0,0,1,2,0,0.495704873083695,0.0,1,0.0,0.0,32765.0,11000.0,0,4.0,1,1,1
1,0,0,0,2,2,0.557474851486192,0.0,1,0.0,0.0,10238.0,12000.0,0,0.0,0,0,1
0,1,0,0,2,3,0.378448407498231,1.0,1,0.0,0.0,10238.0,17000.0,0,0.0,0,0,1
1,1,0,0,0,0,0.581982987624972,1.0,1,0.0,0.0,10238.0,13000.0,0,0.0,0,0,1
3,0,0,3,0,2,0.626700897452708,1.0,0,1.0,0.0,10238.0,13000.0,0,1.0,0,1,0
0,0,0,0,0,3,0.255281398353568,0.0,1,0.0,1.0,10238.0,10000.0,0,0.0,0,0,1
0,0,0,0,1,1,0.308820458336924,1.0,1,0.0,0.0,10238.0,16000.0,0,0.0,0,0,1
3,1,1,0,1,2,0.547742609264232,1.0,0,1.0,1.0,10238.0,10000.0,1,0.0,0,0,0
2,1,0,2,0,2,0.529986628199379,1.0,0,1.0,1.0,92101.0,10000.0,0,2.0,0,0,0
1,0,0,1,2,1,0.357422375637919,0.0,1,0.0,0.0,10238.0,13000.0,1,0.0,0,0,0
3,0,0,3,0,2,0.779040137682799,0.0,0,1.0,1.0,10238.0,10000.0,0,2.0,0,4,0
2,1,0,0,2,2,0.557714311413461,1.0,0,1.0,0.0,10238.0,14000.0,0,0.0,0,0,0
2,1,0,2,0,3,0.380872496235117,0.0,1,0.0,1.0,10238.0,12000.0,0,2.0,1,0,0
0,1,0,0,2,0,0.305465066253332,1.0,1,0.0,1.0,10238.0,13000.0,0,0.0,0,0,1
2,1,0,2,1,0,0.53418540663813,1.0,1,1.0,1.0,10238.0,10000.0,0,3.0,0,1,0
3,0,0,1,2,2,0.859001241137377,1.0,0,0.0,0.0,10238.0,15000.0,0,1.0,1,0,0
1,0,0,1,2,0,0.526753155719244,1.0,1,0.0,1.0,10238.0,9000.0,0,0.0,0,0,0
1,0,0,1,2,0,0.58336321623377,1.0,0,0.0,0.0,32765.0,9000.0,1,3.0,0,1,0
0,1,0,0,2,3,0.543796643984437,1.0,1,0.0,0.0,92101.0,15000.0,0,0.0,0,0,0
1,1,0,1,1,3,0.356040925140242,0.0,1,0.0,1.0,10238.0,14000.0,0,2.0,0,0,1
3,1,0,0,2,2,0.771006094187887,0.0,1,0.0,0.0,10238.0,16000.0,0,0.0,0,0,1
1,1,0,1,0,1,0.3499147461715375,1.0,1,1.0,1.0,10238.0,12000.0,0,2.0,0,0,0
3,0,0,3,2,2,0.647382850776369,1.0,0,0.0,1.0,10238.0,10000.0,0,1.0,0,4,0
2,0,1,2,0,2,0.66366307284174,1.0,0,1.0,1.0,10238.0,8000.0,0,2.0,0,5,0
1,0,0,1,1,1,0.411757806675706,0.0,1,0.0,0.0,10238.0,18000.0,0,0.0,0,0,1
0,0,0,0,0,1,0.477459488197474,0.0,1,0.0,1.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,0,3,0.36986992189434,0.0,1,1.0,1.0,32765.0,4000.0,0,7.0,0,0,1
0,1,0,0,0,0,0.382056905425804,1.0,1,0.0,0.0,10238.0,17000.0,0,0.0,0,0,1
2,0,0,1,2,0,0.441314019821228,0.0,1,1.0,1.0,10238.0,10000.0,1,3.0,0,0,0
3,0,0,1,2,2,0.58489341789344,1.0,0,1.0,0.0,10238.0,12000.0,0,2.0,0,0,0
1,1,0,1,2,2,0.750813436990128,1.0,0,1.0,1.0,32765.0,14000.0,0,1.0,0,2,0
1,1,0,1,0,0,0.526753155719244,1.0,1,0.0,0.0,32765.0,9000.0,0,2.0,0,0,0
3,1,0,3,0,3,0.333234104143707,0.0,1,1.0,1.0,32765.0,12000.0,0,14.0,4,4,0
2,1,0,0,0,3,0.316853330030258,1.0,1,0.0,1.0,32765.0,12000.0,0,0.0,0,0,1
2,0,0,0,0,2,0.693727422028959,1.0,0,1.0,0.0,32765.0,12000.0,0,0.0,0,0,1
3,1,0,0,2,2,0.694339387881711,1.0,1,1.0,1.0,92101.0,12000.0,0,0.0,0,0,1
1,0,0,0,1,1,0.274371853658297,0.0,1,0.0,0.0,32765.0,10000.0,0,0.0,0,0,1
2,1,0,2,0,2,0.510902042324375,1.0,0,0.0,1.0,10238.0,12000.0,0,4.0,0,6,0
2,1,0,2,0,3,0.514186380888294,0.0,1,1.0,1.0,10238.0,10000.0,0,0.0,2,2,1
1,1,0,0,2,0,0.42808032633157,0.0,1,1.0,1.0,10238.0,7000.0,0,0.0,0,0,1
2,1,1,2,2,2,0.545671087997423,0.0,1,1.0,1.0,32765.0,8000.0,0,9.0,1,2,1
2,1,0,2,2,2,0.665187974843034,0.0,1,0.0,1.0,10238.0,14000.0,0,2.0,0,1,0
0,0,1,0,1,1,0.423627402539317,1.0,1,0.0,1.0,10238.0,15000.0,0,0.0,0,0,1
1,1,0,1,1,1,0.267258641664449,0.0,1,1.0,1.0,32765.0,7000.0,0,4.0,0,2,1
0,0,1,0,1,1,0.3499147461715375,0.0,1,0.0,0.0,10238.0,17000.0,1,0.0,0,0,1
1,0,0,1,2,3,0.484670844081242,0.0,1,0.0,1.0,10238.0,15000.0,0,2.0,0,0,1
3,0,0,1,2,2,0.680943099389442,1.0,0,1.0,1.0,10238.0,9000.0,0,1.0,0,2,0
3,0,0,3,2,0,0.534117926375003,1.0,1,1.0,1.0,10238.0,13000.0,0,3.0,0,0,0
0,1,0,0,2,2,0.656420895287977,1.0,1,1.0,0.0,10238.0,9000.0,0,0.0,0,0,0
1,0,0,1,0,2,0.623464040034908,1.0,1,1.0,1.0,32765.0,7000.0,0,1.0,0,2,0
3,1,0,3,2,2,0.654177181728577,1.0,1,1.0,1.0,10238.0,12000.0,0,9.0,0,4,0
1,1,1,1,0,1,0.309544084967388,0.0,1,0.0,0.0,32765.0,13000.0,0,1.0,0,1,1
1,1,0,1,2,1,0.340617417669621,0.0,1,0.0,0.0,10238.0,13000.0,0,0.0,0,1,1
2,1,0,0,1,1,0.444992121472438,0.0,1,0.0,0.0,10238.0,14000.0,0,0.0,0,0,1
1,0,0,1,0,3,0.367017348720556,0.0,1,1.0,1.0,10238.0,9000.0,0,2.0,1,2,0
3,0,0,3,0,2,0.545417083714888,1.0,0,1.0,1.0,10238.0,8000.0,0,4.0,0,6,0
2,0,0,2,1,3,0.549430998712256,0.0,1,0.0,0.0,32765.0,8000.0,0,4.0,1,2,0
3,1,0,1,2,2,0.62594040888885,1.0,0,1.0,0.0,21217.0,12000.0,0,2.0,0,1,1
2,1,0,2,0,0,0.585375050867056,1.0,1,0.0,1.0,10238.0,15000.0,0,2.0,0,2,0
1,1,0,1,2,2,0.523778642890009,1.0,1,1.0,1.0,10238.0,8000.0,0,2.0,0,1,0
0,0,0,0,0,1,0.308103697686869,0.0,0,0.0,1.0,32765.0,12000.0,0,0.0,0,0,1
0,0,0,0,1,1,0.354383523701379,1.0,1,1.0,0.0,32765.0,13000.0,0,0.0,0,0,1
3,1,0,3,1,2,0.454373381412758,1.0,1,1.0,1.0,10238.0,8000.0,0,6.0,2,4,0
0,0,0,0,1,1,0.351059381526954,0.0,0,0.0,0.0,10238.0,16000.0,0,0.0,0,0,1
1,1,0,1,1,1,0.346894071080606,0.0,1,0.0,1.0,10238.0,12000.0,0,0.0,0,1,0
0,0,0,0,2,1,0.445814564920717,0.0,1,0.0,1.0,10238.0,14000.0,0,0.0,0,0,1
1,1,0,0,1,1,0.343619433462607,0.0,1,0.0,0.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,0,0,0.536656678366607,1.0,0,0.0,0.0,32765.0,13000.0,0,1.0,0,1,0
0,1,0,0,0,1,0.343827885974295,0.0,1,0.0,0.0,32765.0,7000.0,0,0.0,0,0,1
0,0,0,0,0,0,0.603075848334262,1.0,1,0.0,1.0,10238.0,12000.0,0,0.0,0,0,1
0,1,0,0,0,1,0.35485204088255,0.0,1,1.0,1.0,10238.0,9000.0,0,0.0,0,0,1
1,0,0,1,1,3,0.616547809440088,0.0,0,0.0,0.0,10238.0,16000.0,0,2.0,1,0,0
1,0,0,0,2,2,0.668711007574408,1.0,0,1.0,1.0,10238.0,11000.0,0,0.0,0,0,0
1,0,0,1,1,0,0.52651829758375,1.0,1,0.0,0.0,32765.0,15000.0,0,1.0,1,0,0
1,0,0,1,0,0,0.62694086582872,1.0,1,0.0,0.0,10238.0,17000.0,0,0.0,0,1,1
1,1,0,0,2,3,0.475465524870766,0.0,1,0.0,1.0,32765.0,8000.0,0,0.0,0,0,1
1,1,0,0,0,0,0.461155862402844,1.0,0,0.0,1.0,10238.0,12000.0,0,0.0,0,0,1
1,1,0,1,1,3,0.388365888157218,1.0,1,0.0,0.0,32765.0,12000.0,0,2.0,0,1,1
1,1,1,0,0,1,0.286949142049306,0.0,1,0.0,0.0,32765.0,11000.0,0,0.0,0,0,1
2,1,0,2,0,3,0.376540360072396,0.0,1,1.0,0.0,10238.0,7000.0,0,1.0,0,5,0
1,0,0,1,0,3,0.210868905475459,0.0,1,0.0,1.0,32765.0,12000.0,0,1.0,0,2,0
3,0,0,1,2,2,0.616289338575794,1.0,1,1.0,1.0,10238.0,9000.0,0,1.0,1,0,0
0,0,0,0,1,1,0.11914479835417,0.0,1,1.0,0.0,10238.0,12000.0,0,0.0,0,0,1
2,1,0,2,2,0,0.505528330845622,1.0,1,0.0,1.0,10238.0,13000.0,0,2.0,0,4,0
1,0,0,0,0,2,0.571523808415502,1.0,1,1.0,1.0,10238.0,9000.0,0,0.0,0,0,1
1,1,0,0,2,0,0.617759119246531,1.0,1,0.0,0.0,10238.0,12000.0,0,0.0,0,0,1
1,0,0,1,0,3,0.492907884947877,0.0,1,0.0,0.0,10238.0,17000.0,0,0.0,0,0,0
3,0,0,1,0,2,0.655323952332629,0.0,1,0.0,1.0,32765.0,8000.0,0,3.0,0,1,1
1,0,0,1,2,2,0.616289338575794,1.0,0,1.0,0.0,32765.0,7000.0,0,6.0,0,1,1
0,1,0,0,2,0,0.62354621158032,1.0,1,1.0,0.0,10238.0,11000.0,0,0.0,0,0,0
2,0,0,1,2,0,0.519195621964833,0.0,1,1.0,0.0,32765.0,13000.0,0,2.0,0,0,1
3,0,0,3,2,2,0.487878682997909,0.0,1,0.0,1.0,10238.0,12000.0,0,3.0,0,2,0
2,0,0,1,2,2,0.574873437654118,0.0,1,1.0,1.0,10238.0,13000.0,0,2.0,0,0,0
3,0,0,2,0,2,0.835641244655055,0.0,1,1.0,1.0,32765.0,10000.0,0,3.0,0,0,0
1,0,0,0,0,0,0.553209514361293,0.0,1,0.0,1.0,10238.0,11000.0,0,0.0,0,0,1
0,1,0,0,0,0,0.393021887779252,0.0,1,0.0,0.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,1,3,0.397885333894617,0.0,1,0.0,0.0,32765.0,13000.0,1,2.0,1,0,1
0,0,0,0,0,1,0.380999102199169,0.0,1,0.0,1.0,10238.0,15000.0,0,0.0,0,0,1
1,0,0,0,1,1,0.3499147461715375,0.0,1,0.0,1.0,10238.0,17000.0,0,0.0,0,0,0
0,0,0,0,1,1,0.432080037978427,0.0,0,0.0,0.0,10238.0,12000.0,0,0.0,0,0,1
2,0,0,2,1,0,0.611057686121835,0.0,1,1.0,1.0,32765.0,12000.0,0,3.0,1,0,0
2,0,0,0,0,1,0.321984529320533,0.0,1,0.0,0.0,10238.0,15000.0,0,0.0,0,0,1
2,1,0,1,2,2,0.825549441690466,0.0,0,1.0,1.0,10238.0,12000.0,0,2.0,1,0,0
1,0,0,1,0,0,0.573552883358538,1.0,0,1.0,0.0,32765.0,11000.0,0,0.0,0,0,0
1,0,0,1,1,1,0.434221799057281,1.0,1,0.0,0.0,10238.0,12000.0,0,0.0,0,2,0
2,1,0,2,2,2,0.345183036727707,1.0,0,0.0,1.0,10238.0,15000.0,0,0.0,0,0,0
1,1,0,1,2,2,0.670744771102459,1.0,1,0.0,1.0,10238.0,12000.0,0,3.0,0,2,0
1,0,0,0,2,0,0.326681610178118,0.0,1,0.0,0.0,10238.0,16000.0,0,0.0,0,0,1
3,0,0,1,2,2,0.630716764560939,1.0,1,0.0,1.0,32765.0,12000.0,0,1.0,0,0,1
0,1,0,0,1,1,0.396762554947926,0.0,0,0.0,0.0,10238.0,14000.0,0,0.0,0,0,0
0,1,0,0,0,1,0.192158682169209,1.0,0,0.0,0.0,32765.0,15000.0,0,0.0,0,0,0
1,1,0,1,2,1,0.35322013256244,0.0,1,0.0,0.0,92101.0,12000.0,0,2.0,0,1,1
1,1,0,1,2,0,0.547789277970117,0.0,0,1.0,1.0,10238.0,14000.0,0,0.0,0,2,0
1,0,0,1,2,0,0.492577022207177,1.0,0,1.0,1.0,10238.0,13000.0,0,2.0,0,1,0
0,0,0,0,1,1,0.228457521972287,1.0,1,0.0,0.0,10238.0,14000.0,0,0.0,0,0,0
3,1,0,2,2,2,0.616289338575794,1.0,1,1.0,1.0,10238.0,13000.0,0,5.0,2,3,0
0,0,0,0,0,1,0.450598069461407,0.0,1,0.0,1.0,32765.0,10000.0,0,0.0,0,0,1
2,0,0,1,0,0,0.603478033960338,0.0,1,0.0,1.0,10238.0,14000.0,0,0.0,1,0,1
1,1,0,0,2,2,0.581202644752011,0.0,0,1.0,1.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,2,0,0.607396326442099,1.0,1,1.0,0.0,92101.0,13000.0,0,1.0,0,1,1
0,1,0,0,0,1,0.22901552566249,0.0,1,1.0,0.0,32765.0,13000.0,0,0.0,0,0,1
2,1,0,2,1,0,0.228128699650418,0.0,1,1.0,1.0,32765.0,7000.0,0,8.0,2,2,0
1,1,1,1,0,3,0.509709741486317,1.0,1,0.0,1.0,10238.0,12000.0,0,0.0,0,0,1
3,1,0,3,2,2,0.776585470750677,1.0,1,1.0,1.0,10238.0,11000.0,0,3.0,0,4,0
1,1,0,1,2,2,0.626105180216603,1.0,1,0.0,0.0,32765.0,11000.0,0,1.0,0,0,0
1,1,0,0,2,2,0.562342257737034,0.0,0,0.0,1.0,10238.0,10000.0,0,0.0,0,0,1
1,0,0,0,0,0,0.453868484329315,0.0,1,0.0,1.0,32765.0,13000.0,0,0.0,0,0,0
2,1,0,2,1,3,0.246419584858432,1.0,0,1.0,0.0,10238.0,11000.0,0,2.0,1,3,0
1,1,0,0,2,2,0.719644362517525,1.0,0,0.0,0.0,10238.0,12000.0,0,0.0,0,0,0
1,1,0,0,0,3,0.407495590290925,1.0,1,0.0,0.0,32765.0,13000.0,0,0.0,0,0,1
2,1,0,1,1,2,0.583523302408377,1.0,1,0.0,1.0,32765.0,11000.0,0,0.0,1,0,1
2,1,0,2,1,3,0.431242179025551,1.0,1,1.0,0.0,10238.0,14000.0,0,1.0,2,3,0
0,1,0,0,0,1,0.370017847681722,0.0,1,0.0,0.0,32765.0,10000.0,0,0.0,0,0,1
1,1,0,1,0,1,0.34356423162657,0.0,1,0.0,1.0,32765.0,11000.0,0,5.0,0,2,1
0,1,0,0,1,1,0.209507388382318,0.0,1,0.0,1.0,10238.0,14000.0,0,0.0,0,0,1
1,1,0,1,0,3,0.431242179025551,1.0,1,1.0,1.0,32765.0,12000.0,0,1.0,0,1,0
0,0,0,0,0,1,0.373482774652078,0.0,1,0.0,0.0,10238.0,18000.0,0,0.0,0,0,1
2,1,1,1,2,2,0.487012707746312,1.0,1,1.0,1.0,10238.0,10000.0,0,1.0,0,1,0
1,0,0,1,0,1,0.383780945689441,0.0,1,0.0,1.0,10238.0,16000.0,0,0.0,0,0,1
2,1,0,1,2,2,0.82605402556653,1.0,0,1.0,1.0,10238.0,7000.0,0,0.0,1,6,0
1,0,0,1,0,3,0.334893249822001,0.0,0,0.0,0.0,32765.0,14000.0,0,0.0,0,2,0
0,0,0,0,1,1,0.418555966352958,0.0,1,0.0,0.0,32765.0,13000.0,0,0.0,0,0,1
0,1,0,0,0,1,0.349791427195242,0.0,1,0.0,1.0,32765.0,12000.0,0,0.0,0,0,1
1,1,0,1,0,3,0.500222651212053,0.0,1,1.0,1.0,32765.0,9000.0,0,3.0,0,0,1
3,1,0,2,2,2,0.592298217044101,1.0,0,0.0,1.0,32765.0,12000.0,0,4.0,0,0,0
0,0,0,0,1,1,0.473190281206908,0.0,1,0.0,0.0,10238.0,17000.0,0,0.0,0,0,1
1,1,0,0,2,0,0.439352823504163,0.0,0,1.0,1.0,10238.0,8000.0,0,0.0,0,0,1
2,1,0,2,0,3,0.456883464869468,1.0,1,0.0,1.0,32765.0,13000.0,0,5.0,0,1,0
0,1,0,0,1,1,0.310568788520408,1.0,1,1.0,0.0,10238.0,17000.0,0,0.0,0,0,1
2,0,0,1,1,1,0.455683829305187,0.0,1,0.0,1.0,32765.0,6000.0,0,0.0,0,0,0
3,1,0,3,2,2,0.673819202022557,1.0,0,0.0,1.0,10238.0,12000.0,0,9.0,0,5,0
1,1,0,1,0,3,0.43314839799914,1.0,1,0.0,0.0,10238.0,13000.0,0,4.0,0,2,0
2,1,0,2,2,0,0.437882169103657,1.0,1,0.0,0.0,10238.0,11000.0,0,2.0,0,7,0
1,0,0,1,0,3,0.357839172071144,1.0,1,0.0,1.0,32765.0,12000.0,0,1.0,0,0,1
1,1,0,1,0,0,0.428128303163951,1.0,1,1.0,1.0,10238.0,13000.0,0,0.0,1,3,0
2,1,0,0,1,1,0.319759225886556,0.0,1,0.0,1.0,10238.0,13000.0,0,0.0,0,0,1
3,0,0,0,0,2,0.552382000995841,1.0,1,0.0,1.0,10238.0,11000.0,0,0.0,0,0,0
2,1,0,2,1,3,0.414621632865292,0.0,1,0.0,1.0,10238.0,16000.0,1,1.0,1,2,0
0,0,0,0,1,1,0.503587977910549,0.0,1,0.0,0.0,32765.0,11000.0,0,0.0,0,0,1
1,0,0,1,0,3,0.420192830816921,1.0,1,0.0,0.0,10238.0,14000.0,0,0.0,0,0,1
0,0,0,0,0,0,0.463801733466094,1.0,0,0.0,0.0,10238.0,14000.0,0,0.0,0,0,0
3,1,1,0,1,2,0.544033666516372,0.0,1,1.0,1.0,10238.0,9000.0,0,0.0,0,0,1
2,1,1,2,2,2,0.616289338575794,1.0,0,1.0,1.0,10238.0,8000.0,0,3.0,1,0,0
2,0,0,0,0,1,0.484703894807733,1.0,1,1.0,1.0,10238.0,10000.0,0,0.0,0,0,1
1,0,0,1,1,0,0.583626475682734,1.0,1,0.0,1.0,10238.0,11000.0,0,0.0,0,1,0
3,0,0,3,2,2,0.606485106289235,1.0,0,1.0,1.0,10238.0,12000.0,0,3.0,3,0,0
2,0,0,2,0,2,0.616289338575794,1.0,0,0.0,1.0,32765.0,8000.0,0,6.0,0,0,0
2,0,0,2,2,0,0.418543510867147,1.0,1,0.0,1.0,32765.0,12000.0,0,4.0,0,0,1
2,1,0,2,0,0,0.599016318968617,0.0,1,0.0,1.0,10238.0,12000.0,0,2.0,0,4,0
1,1,0,0,1,3,0.484255834493602,0.0,1,1.0,0.0,10238.0,13000.0,0,0.0,0,0,1
1,1,0,1,2,3,0.431242179025551,1.0,1,1.0,0.0,10238.0,10000.0,0,3.0,0,1,0
0,0,0,0,0,0,0.697828015401937,1.0,1,0.0,0.0,32765.0,15000.0,0,0.0,0,0,1
2,1,0,2,0,2,0.56605659433611,1.0,0,1.0,1.0,10238.0,11000.0,0,7.0,0,3,0
2,0,0,0,0,2,0.616289338575794,1.0,1,1.0,1.0,10238.0,13000.0,0,0.0,0,0,1
2,1,0,2,0,0,0.503803340465321,1.0,1,1.0,1.0,10238.0,10000.0,0,3.0,0,2,0
2,1,0,2,2,2,0.669572931306894,1.0,0,0.0,1.0,21217.0,11000.0,0,3.0,0,1,1
1,1,0,1,0,2,0.718439764450858,1.0,0,0.0,0.0,10238.0,12000.0,0,2.0,0,1,0
3,0,0,3,1,2,0.616289338575794,1.0,0,1.0,1.0,10238.0,11000.0,0,7.0,0,2,0
2,0,0,2,2,2,0.616289338575794,1.0,1,1.0,0.0,10238.0,10000.0,0,1.0,0,1,0
1,0,0,1,2,2,0.499349046268815,1.0,1,1.0,0.0,10238.0,14000.0,0,2.0,0,1,0
2,1,0,0,2,2,0.571303486479657,1.0,0,1.0,1.0,10238.0,9000.0,0,0.0,0,0,0
1,0,0,1,2,2,0.495555185802032,1.0,1,1.0,1.0,32765.0,12000.0,0,3.0,0,0,1
