ID,Name,Work,AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,SALARY,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
10843,N43,CTU,40-64,male,majority,20-29y,university,upper class,0.587383612046022,,0.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,10.0,2,0,0
397446,N44,CTU,16-25,male,majority,0-9y,none,poverty,0.406482425397447,,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
101678,N45,CTU,26-39,female,majority,10-19y,high school,poverty,0.285747131959646,,0.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,1.0,0,0,1
231661,N46,CTU,40-64,male,majority,20-29y,high school,middle class,0.502284965273105,,0.0,before 2015,0.0,0.0,10238.0,14000.0,sports car,3.0,0,4,0
173782,N47,CTU,65+,male,majority,20-29y,high school,upper class,0.625625721021023,,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,7.0,0,5,0
921097,N48,CTU,40-64,female,majority,20-29y,university,upper class,,,1.0,after 2015,1.0,1.0,92101.0,11000.0,sedan,3.0,0,2,0
98839,N49,CTU,26-39,female,minority,10-19y,university,working class,0.3931531299744,,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,1.0,0,0,0
105372,N50,CTU,26-39,female,minority,10-19y,none,working class,0.503949759816812,,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,1.0,0,0,0
888828,N51,CTU,40-64,male,majority,20-29y,university,upper class,0.658627430257143,,1.0,before 2015,1.0,0.0,10238.0,14000.0,sedan,3.0,0,2,0
37454,N52,CTU,26-39,female,majority,0-9y,high school,working class,0.524146465750119,,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
370044,N53,CTU,65+,male,majority,20-29y,university,upper class,0.553100757062867,,0.0,after 2015,1.0,1.0,32765.0,7000.0,sedan,9.0,0,1,0
768282,N54,CTU,16-25,female,majority,0-9y,university,working class,0.447550948914277,,0.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,0.0,0,0,1
738729,N55,CTU,16-25,female,majority,0-9y,none,working class,0.51073313650642,,1.0,before 2015,1.0,1.0,10238.0,7000.0,sedan,0.0,0,0,1
437535,N56,CTU,26-39,female,majority,10-19y,high school,middle class,,,1.0,after 2015,1.0,0.0,10238.0,15000.0,sedan,0.0,0,0,0
329536,N57,CTU,16-25,female,majority,0-9y,high school,poverty,0.461373591726919,,0.0,before 2015,0.0,0.0,32765.0,9000.0,sedan,0.0,0,0,1
328531,N58,CTU,40-64,female,majority,20-29y,university,middle class,0.387556944364731,,0.0,after 2015,0.0,1.0,32765.0,12000.0,sedan,2.0,0,1,0
123941,N59,CTU,40-64,female,majority,20-29y,university,middle class,0.570157225661622,,1.0,after 2015,1.0,1.0,10238.0,,sedan,0.0,0,0,0
131881,N60,CTU,26-39,male,majority,10-19y,university,working class,0.550125087574322,,1.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,1,0,0
839572,N61,CTU,40-64,Man,majority,20-29y,high school,working class,0.452944231609368,,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,0,1,0
171578,N62,CTU,26-39,male,majority,10-19y,university,upper class,,,1.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,2.0,0,1,0
589757,N63,CTU,40-64,female,majority,20-29y,high school,upper class,0.535274309660214,,1.0,before 2015,1.0,1.0,92101.0,7000.0,sedan,2.0,0,0,0
336859,N64,CTU,16-25,female,majority,0-9y,university,middle class,0.614735948563291,,1.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,0.0,0,0,1
788111,N65,CTU,40-64,female,minority,20-29y,high school,poverty,0.454447156432925,,1.0,before 2015,1.0,1.0,10238.0,,sedan,1.0,0,1,0
407453,N66,CTU,40-64,female,majority,0-9y,university,upper class,0.613740918381941,,1.0,before 2015,0.0,0.0,10238.0,,sedan,0.0,0,0,0
367026,N67,CTU,40-64,female,minority,10-19y,high school,working class,0.532661328025059,,1.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,0.0,0,0,0
334687,N68,CTU,40-64,female,minority,0-9y,university,middle class,0.427728514301934,,1.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,0.0,0,0,1
623367,N69,CTU,65+,male,majority,20-29y,university,upper class,0.685945721371914,,1.0,before 2015,1.0,1.0,32765.0,5000.0,sedan,4.0,1,4,0
688440,N70,CTU,65+,male,majority,10-19y,university,upper class,0.693612426718708,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,2.0,0,0,0
547974,N71,CTU,65+,male,majority,20-29y,high school,upper class,0.597990596358233,,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,2.0,1,7,1
989064,N72,CTU,26-39,male,majority,0-9y,none,poverty,0.330818666498692,,0.0,after 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,1
422816,N73,CTU,40-64,male,majority,20-29y,high school,working class,,,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,5.0,0,7,0
307408,N74,CTU,26-39,female,minority,10-19y,none,working class,,,1.0,before 2015,0.0,1.0,10238.0,9000.0,sedan,2.0,0,0,0
675898,N75,CTU,16-25,male,majority,0-9y,high school,middle class,0.508304218380354,,1.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,0,0
480452,N76,CTU,26-39,female,majority,0-9y,university,upper class,0.764132916500523,,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
93199,N77,CTU,40-64,female,majority,0-9y,university,middle class,0.477516960383771,,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
125802,N78,CTU,40-64,female,majority,20-29y,university,upper class,0.681233207848696,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,1,0
616663,N79,CTU,40-64,male,majority,0-9y,university,upper class,0.467155545700702,,1.0,after 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,0
423497,N80,CTU,16-25,female,majority,0-9y,high school,working class,0.394163245499979,,1.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
492837,N81,CTU,40-64,female,majority,10-19y,university,upper class,0.661060732273407,,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
422563,N82,CTU,40-64,male,majority,20-29y,university,upper class,0.665187974843034,,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,2.0,0,1,0
185231,N83,CTU,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,,1.0,before 2015,0.0,1.0,10238.0,11000.0,sedan,0.0,0,0,0
949152,N84,CTU,26-39,female,majority,10-19y,university,upper class,0.745432710369654,,0.0,after 2015,0.0,0.0,32765.0,9000.0,sedan,0.0,0,0,0
859453,N85,CTU,26-39,male,majority,10-19y,university,middle class,0.53257435224505,,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,1.0,0,2,0
466578,N86,CTU,26-39,female,majority,10-19y,high school,middle class,0.526747339143441,,1.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
998214,N87,CTU,16-25,female,minority,0-9y,none,poverty,0.412451746165428,,0.0,before 2015,0.0,0.0,10238.0,14000.0,sedan,0.0,0,0,1
828462,N88,CTU,40-64,male,majority,20-29y,high school,working class,0.387107144901829,,0.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,6,0
511837,N89,CTU,65+,male,majority,10-19y,high school,middle class,0.549993867834324,,1.0,before 2015,1.0,1.0,32765.0,9000.0,sedan,3.0,1,1,0
554995,N90,CTU,16-25,male,majority,0-9y,university,upper class,0.58534209475756,,1.0,before 2015,1.0,1.0,10238.0,12000.0,sports car,0.0,0,0,1
680717,N91,CTU,65+,male,majority,30y+,none,middle class,0.598739605434331,,1.0,before 2015,1.0,1.0,10238.0,14000.0,sedan,6.0,1,3,0
978021,N92,CTU,40-64,male,majority,20-29y,university,upper class,0.602655700079179,,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,4.0,0,6,0
509815,N93,CTU,26-39,female,majority,0-9y,high school,working class,0.511457058480353,,1.0,after 2015,1.0,1.0,32765.0,,sedan,0.0,0,0,0
6676,N94,CTU,40-64,female,majority,20-29y,high school,upper class,0.558659173528889,,0.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,3.0,0,2,0
362280,N95,CTU,40-64,male,majority,10-19y,high school,working class,0.62840701371703,,0.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
883018,N96,CTU,40-64,male,majority,0-9y,high school,working class,0.505790373257178,,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,0.0,0,0,0
889355,N97,CTU,26-39,female,majority,10-19y,university,upper class,0.726818418064527,,1.0,before 2015,1.0,1.0,10238.0,15000.0,sedan,2.0,0,0,0
198273,N98,CTU,65+,male,majority,20-29y,university,upper class,0.690442333573317,,1.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,8.0,0,2,0
197763,N99,CTU,40-64,male,majority,20-29y,university,upper class,0.479677164661931,,0.0,after 2015,1.0,0.0,10238.0,14000.0,sedan,1.0,0,2,0
55670,N100,CTU,26-39,male,majority,10-19y,university,upper class,,,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,3.0,1,0,0
545941,N101,CTU,40-64,female,majority,20-29y,none,working class,0.440559204196823,,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,1.0,0,2,0
814196,N102,CTU,16-25,female,majority,0-9y,none,middle class,0.634052597196068,,1.0,before 2015,0.0,1.0,32765.0,,sedan,0.0,0,0,1
560160,N103,CTU,16-25,female,majority,0-9y,high school,poverty,0.457469587994366,,0.0,before 2015,0.0,0.0,10238.0,,sedan,0.0,0,0,0
320444,N104,CTU,26-39,male,majority,0-9y,none,poverty,0.308649018200494,,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
305793,N105,CTU,16-25,male,majority,0-9y,high school,poverty,0.245835185234073,,0.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,0.0,0,0,1
362190,N106,CTU,16-25,male,majority,0-9y,high school,poverty,0.305646519041316,,0.0,before 2015,0.0,0.0,10238.0,14000.0,sedan,0.0,0,0,1
62647,N107,CTU,26-39,male,majority,10-19y,high school,upper class,0.744014086268148,,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,2.0,0,1,0
296948,N108,CTU,40-64,male,majority,10-19y,university,upper class,0.67046454678994,,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
673660,N109,CTU,65+,female,majority,30y+,high school,upper class,0.683040798482419,,0.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,4.0,1,3,0
945867,N110,CTU,16-25,male,majority,0-9y,university,middle class,0.828628569053192,,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
391880,N111,CTU,65+,male,majority,30y+,none,middle class,,,1.0,before 2015,1.0,1.0,32765.0,10000.0,sedan,12.0,2,2,0
241973,N112,CTU,65+,female,majority,30y+,high school,upper class,0.62933809397174,,1.0,before 2015,1.0,0.0,10238.0,11000.0,sedan,2.0,0,2,0
429503,N113,CTU,16-25,male,majority,0-9y,high school,poverty,0.28372421050714,,0.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,0.0,0,0,1
810013,N114,CTU,16-25,male,majority,0-9y,university,working class,0.457648681585843,,1.0,after 2015,0.0,0.0,10238.0,14000.0,sports car,0.0,0,0,1
663458,N115,CTU,16-25,female,majority,0-9y,high school,poverty,0.304987642393795,,0.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,0.0,0,0,1
879976,N116,CTU,16-25,male,majority,0-9y,high school,working class,0.551744288413539,,0.0,before 2015,1.0,1.0,32765.0,10000.0,sedan,0.0,0,0,1
418841,N117,CTU,16-25,male,minority,0-9y,none,poverty,0.318685556245105,,1.0,before 2015,1.0,0.0,32765.0,9000.0,sedan,0.0,0,0,1
542236,N118,CTU,26-39,male,minority,10-19y,none,working class,0.436944194154781,,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,3.0,0,0,0
937573,N119,CTU,40-64,male,majority,10-19y,university,upper class,0.629193984322172,,1.0,before 2015,1.0,1.0,32765.0,7000.0,sedan,5.0,0,1,0
670850,N120,CTU,16-25,male,majority,0-9y,university,working class,0.405560015888726,,1.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
151252,N121,CTU,16-25,male,majority,0-9y,university,middle class,0.62354621158032,,1.0,before 2015,1.0,0.0,10238.0,11000.0,sedan,0.0,0,0,0
706349,N122,CTU,65+,male,majority,10-19y,university,upper class,0.727032989782123,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,1.0,1,2,0
602998,N123,CTU,65+,male,majority,20-29y,none,working class,0.426828388879915,,1.0,before 2015,1.0,0.0,10238.0,14000.0,sedan,3.0,1,7,0
242772,N124,CTU,26-39,female,majority,10-19y,none,middle class,0.503658970448773,,1.0,before 2015,0.0,1.0,10238.0,10000.0,sedan,1.0,2,0,0
393449,N125,CTU,26-39,female,majority,10-19y,high school,middle class,,,0.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,2.0,0,0,0
380740,N126,CTU,65+,male,majority,30y+,university,upper class,0.726440001845529,,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,2.0,0,3,0
938115,N127,CTU,16-25,female,majority,0-9y,none,poverty,0.244490093124079,,0.0,before 2015,0.0,1.0,32765.0,,sedan,0.0,0,0,1
727943,N128,CTU,16-25,male,majority,0-9y,university,middle class,0.575770797450962,,1.0,before 2015,0.0,0.0,10238.0,11000.0,sedan,0.0,0,0,1
766309,N129,CTU,16-25,male,majority,0-9y,high school,poverty,,,0.0,before 2015,0.0,0.0,10238.0,10000.0,sports car,0.0,0,0,1
261229,N130,CTU,16-25,male,majority,0-9y,university,working class,0.468671965728324,,1.0,after 2015,0.0,1.0,32765.0,9000.0,sedan,0.0,0,0,1
60866,N131,CTU,65+,male,majority,20-29y,university,upper class,0.697083455846478,,0.0,after 2015,0.0,1.0,10238.0,13000.0,sedan,3.0,0,2,0
752797,N132,CTU,40-64,female,majority,20-29y,high school,working class,0.542918107942303,,1.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,1.0,1,0,0
45002,N133,CTU,65+,M,majority,30y+,high school,upper class,0.672256253514129,,1.0,before 2015,1.0,1.0,10238.0,9000.0,sedan,4.0,1,2,0
482448,N134,CTU,16-25,male,majority,0-9y,none,poverty,0.386406618570331,,0.0,before 2015,0.0,0.0,32765.0,8000.0,sedan,0.0,0,0,1
549142,N135,CTU,16-25,male,majority,0-9y,university,middle class,0.551297833071366,,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,1
95138,N136,CTU,40-64,male,majority,20-29y,high school,middle class,0.598557025424425,,0.0,after 2015,1.0,0.0,10238.0,14000.0,sedan,4.0,1,4,0
851152,N137,CTU,26-39,female,majority,10-19y,none,working class,,,0.0,before 2015,1.0,1.0,10238.0,,sedan,0.0,0,1,0
615991,N138,CTU,40-64,female,majority,20-29y,high school,upper class,0.58242199460874,,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,2.0,0,1,0
424820,N139,CTU,26-39,female,minority,10-19y,high school,middle class,0.540182723180248,,1.0,before 2015,1.0,1.0,10238.0,,sedan,0.0,0,1,0
807847,N140,CTU,65+,male,majority,20-29y,university,upper class,0.633013947512296,,1.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,3.0,1,4,0
758983,N141,CTU,40-64,male,majority,20-29y,high school,middle class,0.552204630296896,,1.0,after 2015,1.0,0.0,32765.0,12000.0,sedan,6.0,0,3,0
987114,N142,CTU,26-39,female,majority,0-9y,university,middle class,0.326681610178118,,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
873457,N143,CTU,40-64,male,minority,20-29y,high school,middle class,0.588082542404731,,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,7.0,1,1,0
699703,N144,CTU,65+,female,majority,0-9y,university,upper class,0.70227480209757,,0.0,before 2015,1.0,1.0,92101.0,10000.0,sedan,0.0,0,0,1
563342,N145,CTU,65+,female,majority,0-9y,university,upper class,0.726605539197576,,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,0.0,0,0,0
504412,N146,CTU,26-39,male,majority,10-19y,university,working class,,,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,2,3,1
284106,N147,CTU,65+,male,majority,30y+,university,upper class,0.73238212135242,,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,5.0,1,5,0
78189,N148,CTU,16-25,female,majority,0-9y,none,poverty,0.201283921182775,,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,0.0,0,0,1
427520,N149,CTU,26-39,male,majority,10-19y,university,middle class,0.464160707631184,,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,1,0,0
689030,N150,CTU,40-64,female,majority,20-29y,university,upper class,0.657967742805303,,1.0,after 2015,1.0,0.0,92101.0,13000.0,sedan,1.0,0,1,0
966467,N151,CTU,65+,male,majority,30y+,university,upper class,0.600216155430965,,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,5.0,2,4,0
288712,N152,CTU,65+,male,majority,30y+,university,upper class,0.666376018164496,,1.0,after 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,0,7,0
228114,N153,CTU,26-39,male,majority,0-9y,high school,working class,0.403147280231376,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,0,0
63715,N154,CTU,65+,male,majority,20-29y,university,upper class,0.416935044130106,,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,5.0,1,5,0
624077,N155,CTU,65+,female,majority,30y+,none,upper class,0.594879713677891,,1.0,before 2015,1.0,1.0,32765.0,8000.0,sports car,10.0,0,1,0
726352,N156,CTU,26-39,male,minority,10-19y,none,poverty,0.380426503462066,,0.0,before 2015,1.0,1.0,10238.0,16000.0,sedan,1.0,0,1,0
150072,N157,CTU,16-25,female,majority,0-9y,none,poverty,,,0.0,before 2015,0.0,0.0,21217.0,14000.0,sedan,0.0,0,0,1
792396,N158,CTU,65+,female,majority,30y+,university,upper class,0.680617632406099,,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,1.0,2,2,0
768933,N159,CTU,40-64,male,minority,0-9y,high school,working class,0.355950469993869,,1.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,0,1
452356,N160,CTU,40-64,female,majority,10-19y,none,middle class,,,1.0,before 2015,0.0,1.0,32765.0,10000.0,sedan,2.0,0,0,0
849811,N161,CTU,65+,female,minority,30y+,high school,upper class,0.587831426389767,,1.0,after 2015,1.0,0.0,32765.0,,sports car,3.0,0,1,0
579336,N162,CTU,65+,female,majority,10-19y,university,upper class,0.573388042602954,,1.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,2,0
648922,N163,CTU,16-25,male,majority,0-9y,university,middle class,0.29640628282378,,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
47909,N164,CTU,65+,male,majority,10-19y,university,upper class,0.429509698620844,,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,1.0,0,4,0
619577,N165,CTU,65+,female,majority,30y+,university,upper class,0.688568718619446,,1.0,after 2015,0.0,1.0,92101.0,11000.0,sedan,2.0,0,0,0
212678,N166,CTU,65+,female,majority,20-29y,university,upper class,0.700017431968704,,1.0,after 2015,0.0,1.0,32765.0,13000.0,sedan,1.0,0,1,0
579720,N167,CTU,26-39,male,majority,10-19y,university,working class,0.44958863103794,,0.0,before 2015,0.0,1.0,10238.0,,sports car,0.0,0,1,1
995884,N168,CTU,40-64,female,majority,20-29y,university,upper class,0.690045581877834,,1.0,after 2015,1.0,0.0,10238.0,11000.0,sedan,2.0,1,1,0
226326,N169,CTU,40-64,female,minority,10-19y,university,working class,0.496029873051001,,1.0,after 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,1,0
943922,N170,CTU,26-39,male,majority,10-19y,university,upper class,0.656345762516539,,0.0,after 2015,1.0,1.0,32765.0,6000.0,sedan,8.0,0,0,0
510116,N171,CTU,40-64,male,majority,0-9y,high school,middle class,0.498356625994165,,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
