AGE,SEX,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
16-25,female,majority,0-9y,high school,working class,0.409513530651606,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,high school,middle class,0.553260053195238,1.0,after 2015,1.0,1.0,32765.0,8000.0,sedan,0.0,0,0,1
40-64,male,majority,20-29y,none,poverty,0.330950261858189,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,3.0,1,1,0
16-25,male,majority,0-9y,none,poverty,0.3499147461715375,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,0
65+,male,majority,30y+,high school,upper class,0.500630660442716,1.0,before 2015,1.0,1.0,32765.0,7000.0,sedan,13.0,2,3,0
26-39,female,majority,10-19y,university,middle class,0.551970181363628,1.0,before 2015,1.0,0.0,10238.0,14000.0,sports car,0.0,0,0,0
40-64,male,majority,10-19y,high school,middle class,0.626996049738665,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,1.0,1,0,0
26-39,male,majority,10-19y,none,poverty,0.294797480771996,1.0,before 2015,1.0,0.0,10238.0,15000.0,sedan,0.0,0,1,0
26-39,male,majority,10-19y,university,middle class,0.551950495261839,0.0,after 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,1,0
65+,male,majority,0-9y,university,upper class,0.649820471216227,1.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,0.0,0,0,1
40-64,male,majority,20-29y,high school,middle class,0.521804434639763,1.0,after 2015,1.0,1.0,92101.0,7000.0,sedan,2.0,0,1,0
65+,female,majority,30y+,university,upper class,0.701268324060419,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,3.0,1,1,0
16-25,male,majority,0-9y,none,poverty,0.171244028821321,1.0,before 2015,1.0,1.0,10238.0,9000.0,sedan,0.0,0,0,0
16-25,male,majority,0-9y,none,poverty,0.318441997212417,1.0,before 2015,0.0,1.0,32765.0,10000.0,sedan,0.0,0,0,1
26-39,female,majority,0-9y,high school,middle class,0.604684269671555,1.0,before 2015,1.0,1.0,21217.0,11000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,university,working class,0.504994852644037,0.0,after 2015,0.0,0.0,32765.0,8000.0,sedan,0.0,0,0,1
26-39,male,majority,10-19y,high school,working class,0.625146635281621,1.0,before 2015,0.0,1.0,10238.0,17000.0,sedan,3.0,0,2,0
40-64,female,majority,10-19y,none,middle class,0.526753155719244,1.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,2.0,0,1,0
65+,male,majority,30y+,university,upper class,0.616289338575794,0.0,after 2015,0.0,1.0,10238.0,12000.0,sports car,6.0,0,5,0
40-64,male,majority,10-19y,university,upper class,0.578130587321203,1.0,before 2015,0.0,1.0,92101.0,14000.0,sedan,1.0,0,1,0
65+,male,majority,30y+,high school,upper class,0.705454290213705,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,5.0,1,3,0
40-64,male,majority,20-29y,university,upper class,0.659525490587594,1.0,after 2015,0.0,1.0,10238.0,16000.0,sedan,4.0,0,2,0
40-64,male,majority,20-29y,university,upper class,0.587383612046022,0.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,10.0,2,0,0
16-25,male,majority,0-9y,none,poverty,0.406482425397447,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
26-39,female,majority,10-19y,high school,poverty,0.285747131959646,0.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,1.0,0,0,1
40-64,male,majority,20-29y,high school,middle class,0.502284965273105,0.0,before 2015,0.0,0.0,10238.0,14000.0,sports car,3.0,0,4,0
65+,male,majority,20-29y,high school,upper class,0.625625721021023,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,7.0,0,5,0
40-64,female,majority,20-29y,university,upper class,0.616289338575794,1.0,after 2015,1.0,1.0,92101.0,11000.0,sedan,3.0,0,2,0
26-39,female,minority,10-19y,university,working class,0.3931531299744,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,1.0,0,0,0
26-39,female,minority,10-19y,none,working class,0.503949759816812,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,1.0,0,0,0
40-64,male,majority,20-29y,university,upper class,0.658627430257143,1.0,before 2015,1.0,0.0,10238.0,14000.0,sedan,3.0,0,2,0
26-39,female,majority,0-9y,high school,working class,0.524146465750119,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
65+,male,majority,20-29y,university,upper class,0.553100757062867,0.0,after 2015,1.0,1.0,32765.0,7000.0,sedan,9.0,0,1,0
16-25,female,majority,0-9y,university,working class,0.447550948914277,0.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,0.0,0,0,1
16-25,female,majority,0-9y,none,working class,0.51073313650642,1.0,before 2015,1.0,1.0,10238.0,7000.0,sedan,0.0,0,0,1
26-39,female,majority,10-19y,high school,middle class,0.526753155719244,1.0,after 2015,1.0,0.0,10238.0,15000.0,sedan,0.0,0,0,0
16-25,female,majority,0-9y,high school,poverty,0.461373591726919,0.0,before 2015,0.0,0.0,32765.0,9000.0,sedan,0.0,0,0,1
40-64,female,majority,20-29y,university,middle class,0.387556944364731,0.0,after 2015,0.0,1.0,32765.0,12000.0,sedan,2.0,0,1,0
40-64,female,majority,20-29y,university,middle class,0.570157225661622,1.0,after 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
26-39,male,majority,10-19y,university,working class,0.550125087574322,1.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,1,0,0
40-64,male,majority,20-29y,high school,working class,0.452944231609368,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,0,1,0
26-39,male,majority,10-19y,university,upper class,0.616289338575794,1.0,before 2015,1.0,1.0,10238.0,8000.0,sedan,2.0,0,1,0
40-64,female,majority,20-29y,high school,upper class,0.535274309660214,1.0,before 2015,1.0,1.0,92101.0,7000.0,sedan,2.0,0,0,0
16-25,female,majority,0-9y,university,middle class,0.614735948563291,1.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,0.0,0,0,1
40-64,female,minority,20-29y,high school,poverty,0.454447156432925,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,1.0,0,1,0
40-64,female,majority,0-9y,university,upper class,0.613740918381941,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,0.0,0,0,0
40-64,female,minority,10-19y,high school,working class,0.532661328025059,1.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,0.0,0,0,0
40-64,female,minority,0-9y,university,middle class,0.427728514301934,1.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,0.0,0,0,1
65+,male,majority,20-29y,university,upper class,0.685945721371914,1.0,before 2015,1.0,1.0,32765.0,5000.0,sedan,4.0,1,4,0
65+,male,majority,10-19y,university,upper class,0.693612426718708,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,2.0,0,0,0
65+,male,majority,20-29y,high school,upper class,0.597990596358233,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,2.0,1,7,1
26-39,male,majority,0-9y,none,poverty,0.330818666498692,0.0,after 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,1
40-64,male,majority,20-29y,high school,working class,0.431242179025551,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,5.0,0,7,0
26-39,female,minority,10-19y,none,working class,0.431242179025551,1.0,before 2015,0.0,1.0,10238.0,9000.0,sedan,2.0,0,0,0
16-25,male,majority,0-9y,high school,middle class,0.508304218380354,1.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,0,0
26-39,female,majority,0-9y,university,upper class,0.764132916500523,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
40-64,female,majority,0-9y,university,middle class,0.477516960383771,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
40-64,female,majority,20-29y,university,upper class,0.681233207848696,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,1,0
40-64,male,majority,0-9y,university,upper class,0.467155545700702,1.0,after 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,0
16-25,female,majority,0-9y,high school,working class,0.394163245499979,1.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
40-64,female,majority,10-19y,university,upper class,0.661060732273407,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
40-64,male,majority,20-29y,university,upper class,0.665187974843034,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,2.0,0,1,0
16-25,female,majority,0-9y,high school,middle class,0.560770206632082,1.0,before 2015,0.0,1.0,10238.0,11000.0,sedan,0.0,0,0,0
26-39,female,majority,10-19y,university,upper class,0.745432710369654,0.0,after 2015,0.0,0.0,32765.0,9000.0,sedan,0.0,0,0,0
26-39,male,majority,10-19y,university,middle class,0.53257435224505,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,1.0,0,2,0
26-39,female,majority,10-19y,high school,middle class,0.526747339143441,1.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
16-25,female,minority,0-9y,none,poverty,0.412451746165428,0.0,before 2015,0.0,0.0,10238.0,14000.0,sedan,0.0,0,0,1
40-64,male,majority,20-29y,high school,working class,0.387107144901829,0.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,6,0
65+,male,majority,10-19y,high school,middle class,0.549993867834324,1.0,before 2015,1.0,1.0,32765.0,9000.0,sedan,3.0,1,1,0
16-25,male,majority,0-9y,university,upper class,0.58534209475756,1.0,before 2015,1.0,1.0,10238.0,12000.0,sports car,0.0,0,0,1
65+,male,majority,30y+,none,middle class,0.598739605434331,1.0,before 2015,1.0,1.0,10238.0,14000.0,sedan,6.0,1,3,0
40-64,male,majority,20-29y,university,upper class,0.602655700079179,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,4.0,0,6,0
26-39,female,majority,0-9y,high school,working class,0.511457058480353,1.0,after 2015,1.0,1.0,32765.0,12000.0,sedan,0.0,0,0,0
40-64,female,majority,20-29y,high school,upper class,0.558659173528889,0.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,3.0,0,2,0
40-64,male,majority,10-19y,high school,working class,0.62840701371703,0.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
40-64,male,majority,0-9y,high school,working class,0.505790373257178,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,0.0,0,0,0
26-39,female,majority,10-19y,university,upper class,0.726818418064527,1.0,before 2015,1.0,1.0,10238.0,15000.0,sedan,2.0,0,0,0
65+,male,majority,20-29y,university,upper class,0.690442333573317,1.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,8.0,0,2,0
40-64,male,majority,20-29y,university,upper class,0.479677164661931,0.0,after 2015,1.0,0.0,10238.0,14000.0,sedan,1.0,0,2,0
26-39,male,majority,10-19y,university,upper class,0.616289338575794,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,3.0,1,0,0
40-64,female,majority,20-29y,none,working class,0.440559204196823,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,1.0,0,2,0
16-25,female,majority,0-9y,none,middle class,0.634052597196068,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,0.0,0,0,1
16-25,female,majority,0-9y,high school,poverty,0.457469587994366,0.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,0.0,0,0,0
26-39,male,majority,0-9y,none,poverty,0.308649018200494,0.0,before 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
16-25,male,majority,0-9y,high school,poverty,0.245835185234073,0.0,before 2015,1.0,1.0,10238.0,11000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,high school,poverty,0.305646519041316,0.0,before 2015,0.0,0.0,10238.0,14000.0,sedan,0.0,0,0,1
26-39,male,majority,10-19y,high school,upper class,0.744014086268148,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,2.0,0,1,0
40-64,male,majority,10-19y,university,upper class,0.67046454678994,1.0,after 2015,1.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
65+,female,majority,30y+,high school,upper class,0.683040798482419,0.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,4.0,1,3,0
16-25,male,majority,0-9y,university,middle class,0.828628569053192,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
65+,male,majority,30y+,none,middle class,0.526753155719244,1.0,before 2015,1.0,1.0,32765.0,10000.0,sedan,12.0,2,2,0
65+,female,majority,30y+,high school,upper class,0.62933809397174,1.0,before 2015,1.0,0.0,10238.0,11000.0,sedan,2.0,0,2,0
16-25,male,majority,0-9y,high school,poverty,0.28372421050714,0.0,before 2015,0.0,1.0,10238.0,15000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,university,working class,0.457648681585843,1.0,after 2015,0.0,0.0,10238.0,14000.0,sports car,0.0,0,0,1
16-25,female,majority,0-9y,high school,poverty,0.304987642393795,0.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,high school,working class,0.551744288413539,0.0,before 2015,1.0,1.0,32765.0,10000.0,sedan,0.0,0,0,1
16-25,male,minority,0-9y,none,poverty,0.318685556245105,1.0,before 2015,1.0,0.0,32765.0,9000.0,sedan,0.0,0,0,1
26-39,male,minority,10-19y,none,working class,0.436944194154781,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,3.0,0,0,0
40-64,male,majority,10-19y,university,upper class,0.629193984322172,1.0,before 2015,1.0,1.0,32765.0,7000.0,sedan,5.0,0,1,0
16-25,male,majority,0-9y,university,working class,0.405560015888726,1.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,university,middle class,0.62354621158032,1.0,before 2015,1.0,0.0,10238.0,11000.0,sedan,0.0,0,0,0
65+,male,majority,10-19y,university,upper class,0.727032989782123,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,1.0,1,2,0
65+,male,majority,20-29y,none,working class,0.426828388879915,1.0,before 2015,1.0,0.0,10238.0,14000.0,sedan,3.0,1,7,0
26-39,female,majority,10-19y,none,middle class,0.503658970448773,1.0,before 2015,0.0,1.0,10238.0,10000.0,sedan,1.0,2,0,0
26-39,female,majority,10-19y,high school,middle class,0.526753155719244,0.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,2.0,0,0,0
65+,male,majority,30y+,university,upper class,0.726440001845529,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,2.0,0,3,0
16-25,female,majority,0-9y,none,poverty,0.244490093124079,0.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,university,middle class,0.575770797450962,1.0,before 2015,0.0,0.0,10238.0,11000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,high school,poverty,0.3499147461715375,0.0,before 2015,0.0,0.0,10238.0,10000.0,sports car,0.0,0,0,1
16-25,male,majority,0-9y,university,working class,0.468671965728324,1.0,after 2015,0.0,1.0,32765.0,9000.0,sedan,0.0,0,0,1
65+,male,majority,20-29y,university,upper class,0.697083455846478,0.0,after 2015,0.0,1.0,10238.0,13000.0,sedan,3.0,0,2,0
40-64,female,majority,20-29y,high school,working class,0.542918107942303,1.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,1.0,1,0,0
65+,male,majority,30y+,high school,upper class,0.672256253514129,1.0,before 2015,1.0,1.0,10238.0,9000.0,sedan,4.0,1,2,0
16-25,male,majority,0-9y,none,poverty,0.386406618570331,0.0,before 2015,0.0,0.0,32765.0,8000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,university,middle class,0.551297833071366,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,1
40-64,male,majority,20-29y,high school,middle class,0.598557025424425,0.0,after 2015,1.0,0.0,10238.0,14000.0,sedan,4.0,1,4,0
26-39,female,majority,10-19y,none,working class,0.431242179025551,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,1,0
40-64,female,majority,20-29y,high school,upper class,0.58242199460874,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,2.0,0,1,0
26-39,female,minority,10-19y,high school,middle class,0.540182723180248,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,1,0
65+,male,majority,20-29y,university,upper class,0.633013947512296,1.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,3.0,1,4,0
40-64,male,majority,20-29y,high school,middle class,0.552204630296896,1.0,after 2015,1.0,0.0,32765.0,12000.0,sedan,6.0,0,3,0
26-39,female,majority,0-9y,university,middle class,0.326681610178118,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,0,0,1
40-64,male,minority,20-29y,high school,middle class,0.588082542404731,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,7.0,1,1,0
65+,female,majority,0-9y,university,upper class,0.70227480209757,0.0,before 2015,1.0,1.0,92101.0,10000.0,sedan,0.0,0,0,1
65+,female,majority,0-9y,university,upper class,0.726605539197576,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,0.0,0,0,0
26-39,male,majority,10-19y,university,working class,0.431242179025551,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,2,3,1
65+,male,majority,30y+,university,upper class,0.73238212135242,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,5.0,1,5,0
16-25,female,majority,0-9y,none,poverty,0.201283921182775,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,0.0,0,0,1
26-39,male,majority,10-19y,university,middle class,0.464160707631184,0.0,before 2015,0.0,0.0,10238.0,16000.0,sedan,0.0,1,0,0
40-64,female,majority,20-29y,university,upper class,0.657967742805303,1.0,after 2015,1.0,0.0,92101.0,13000.0,sedan,1.0,0,1,0
65+,male,majority,30y+,university,upper class,0.600216155430965,1.0,before 2015,1.0,1.0,10238.0,13000.0,sedan,5.0,2,4,0
65+,male,majority,30y+,university,upper class,0.666376018164496,1.0,after 2015,1.0,1.0,10238.0,12000.0,sedan,3.0,0,7,0
26-39,male,majority,0-9y,high school,working class,0.403147280231376,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,0,0
65+,male,majority,20-29y,university,upper class,0.416935044130106,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,5.0,1,5,0
65+,female,majority,30y+,none,upper class,0.594879713677891,1.0,before 2015,1.0,1.0,32765.0,8000.0,sports car,10.0,0,1,0
26-39,male,minority,10-19y,none,poverty,0.380426503462066,0.0,before 2015,1.0,1.0,10238.0,16000.0,sedan,1.0,0,1,0
16-25,female,majority,0-9y,none,poverty,0.3499147461715375,0.0,before 2015,0.0,0.0,21217.0,14000.0,sedan,0.0,0,0,1
65+,female,majority,30y+,university,upper class,0.680617632406099,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,1.0,2,2,0
40-64,male,minority,0-9y,high school,working class,0.355950469993869,1.0,before 2015,0.0,1.0,10238.0,16000.0,sedan,0.0,0,0,1
40-64,female,majority,10-19y,none,middle class,0.526753155719244,1.0,before 2015,0.0,1.0,32765.0,10000.0,sedan,2.0,0,0,0
65+,female,minority,30y+,high school,upper class,0.587831426389767,1.0,after 2015,1.0,0.0,32765.0,12000.0,sports car,3.0,0,1,0
65+,female,majority,10-19y,university,upper class,0.573388042602954,1.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,0.0,0,2,0
16-25,male,majority,0-9y,university,middle class,0.29640628282378,1.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
65+,male,majority,10-19y,university,upper class,0.429509698620844,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,1.0,0,4,0
65+,female,majority,30y+,university,upper class,0.688568718619446,1.0,after 2015,0.0,1.0,92101.0,11000.0,sedan,2.0,0,0,0
65+,female,majority,20-29y,university,upper class,0.700017431968704,1.0,after 2015,0.0,1.0,32765.0,13000.0,sedan,1.0,0,1,0
26-39,male,majority,10-19y,university,working class,0.44958863103794,0.0,before 2015,0.0,1.0,10238.0,12000.0,sports car,0.0,0,1,1
40-64,female,majority,20-29y,university,upper class,0.690045581877834,1.0,after 2015,1.0,0.0,10238.0,11000.0,sedan,2.0,1,1,0
40-64,female,minority,10-19y,university,working class,0.496029873051001,1.0,after 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,1,0
26-39,male,majority,10-19y,university,upper class,0.656345762516539,0.0,after 2015,1.0,1.0,32765.0,6000.0,sedan,8.0,0,0,0
40-64,male,majority,0-9y,high school,middle class,0.498356625994165,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
16-25,female,majority,0-9y,university,middle class,0.546382543103347,1.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,0.0,0,0,0
40-64,female,majority,10-19y,high school,working class,0.315862876709165,1.0,before 2015,0.0,1.0,10238.0,11000.0,sedan,0.0,0,1,0
26-39,male,majority,10-19y,none,working class,0.530064317118157,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,1.0,0,2,1
26-39,female,majority,10-19y,high school,working class,0.357839172071144,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,1.0,0,0,1
65+,male,majority,10-19y,university,upper class,0.672756052841708,1.0,after 2015,1.0,1.0,10238.0,9000.0,sedan,1.0,0,2,0
40-64,male,majority,20-29y,university,upper class,0.741999376030116,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,2.0,0,2,0
65+,female,majority,30y+,university,upper class,0.622651978994973,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,1.0,0,0,0
16-25,female,majority,0-9y,high school,middle class,0.4801406677163,0.0,after 2015,0.0,0.0,32765.0,14000.0,sedan,0.0,0,0,1
65+,male,majority,30y+,university,upper class,0.678795430982943,1.0,after 2015,1.0,1.0,10238.0,11000.0,sedan,5.0,1,3,0
65+,male,majority,30y+,university,upper class,0.616289338575794,1.0,before 2015,1.0,1.0,32765.0,10000.0,sedan,13.0,1,6,0
40-64,female,majority,20-29y,university,upper class,0.515246708012588,1.0,after 2015,0.0,1.0,10238.0,12000.0,sedan,2.0,0,1,0
26-39,female,majority,0-9y,high school,upper class,0.616289338575794,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,3.0,0,1,0
65+,male,majority,30y+,high school,middle class,0.421957948613266,1.0,before 2015,0.0,1.0,10238.0,11000.0,sedan,4.0,0,6,0
40-64,male,majority,20-29y,university,upper class,0.584354849666294,1.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,1.0,0,2,0
16-25,male,majority,0-9y,none,poverty,0.3499147461715375,0.0,before 2015,0.0,0.0,10238.0,9000.0,sedan,0.0,0,0,1
65+,female,majority,30y+,high school,upper class,0.55815696989358,1.0,after 2015,0.0,1.0,10238.0,14000.0,sedan,0.0,0,0,0
16-25,male,majority,0-9y,high school,poverty,0.19414954837432,0.0,before 2015,1.0,0.0,10238.0,12000.0,sports car,0.0,0,0,1
16-25,male,majority,0-9y,high school,poverty,0.300497330390378,0.0,before 2015,0.0,0.0,10238.0,13000.0,sedan,0.0,0,0,1
40-64,female,majority,20-29y,university,upper class,0.667090691849855,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,4.0,0,0,0
40-64,male,majority,0-9y,high school,upper class,0.613072407907404,1.0,before 2015,1.0,0.0,10238.0,12000.0,sedan,0.0,0,0,1
40-64,male,majority,10-19y,university,upper class,0.616289338575794,1.0,after 2015,1.0,0.0,10238.0,11000.0,sedan,3.0,0,2,0
26-39,male,minority,10-19y,high school,middle class,0.595281762970913,1.0,before 2015,1.0,1.0,32765.0,8000.0,sedan,1.0,0,1,0
26-39,male,majority,0-9y,none,poverty,0.348235788293382,0.0,before 2015,1.0,1.0,32765.0,7000.0,sedan,0.0,0,0,1
26-39,male,majority,10-19y,high school,working class,0.356639671474586,1.0,after 2015,1.0,1.0,10238.0,8000.0,sedan,3.0,0,1,0
26-39,female,majority,10-19y,none,working class,0.34865912694298,0.0,before 2015,1.0,0.0,21217.0,12000.0,sedan,0.0,0,0,1
40-64,male,majority,0-9y,high school,middle class,0.559468486091557,1.0,before 2015,0.0,1.0,32765.0,12000.0,sedan,0.0,0,0,1
16-25,male,majority,0-9y,high school,poverty,0.514483730987584,0.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,0.0,0,0,1
